date,selic,selic_aa
2004-03-01,0.013802467525297013,0.1788
2004-04-01,0.011802850082948346,0.1512
2004-05-01,0.012299556585700477,0.158
2004-06-01,0.012299556585700477,0.158
2004-07-01,0.012902219957425354,0.1663
2004-08-01,0.012902219957425354,0.1663
2004-09-01,0.012503306037707329,0.1608
2004-10-01,0.012102655750022784,0.1553
2004-11-01,0.012503306037707329,0.1608
2004-12-01,0.014800414338908885,0.1928
2005-01-01,0.013802467525297013,0.1788
2005-02-01,0.012197512451368464,0.1566
2005-03-01,0.015302419470205164,0.1999
2005-04-01,0.014102987320446125,0.183
2005-05-01,0.014998714461245566,0.1956
2005-06-01,0.015899842632533412,0.2084
2005-07-01,0.015097704935669087,0.197
2005-08-01,0.016597781292476688,0.2184
2005-09-01,0.014998714461245566,0.1956
2005-10-01,0.014102987320446125,0.183
2005-11-01,0.013802467525297013,0.1788
2005-12-01,0.01470110421216253,0.1914
2006-01-01,0.014302790976517432,0.1858
2006-02-01,0.011502064035047166,0.1471
2006-03-01,0.014202943271825585,0.1844
2006-04-01,0.010801315867373207,0.1376
2006-05-01,0.012800842103907195,0.1649
2006-06-01,0.011802850082948346,0.1512
2006-07-01,0.011700253215942702,0.1498
2006-08-01,0.012597750899983051,0.1621
2006-09-01,0.010601176913182186,0.1349
2006-10-01,0.010897523817270605,0.1389
2006-11-01,0.010199586180421605,0.1295
2006-12-01,0.009900975291211367,0.1255
2007-01-01,0.010801315867373207,0.1376
2007-02-01,0.008696720591061302,0.1095
2007-03-01,0.01049722926559582,0.1335
2007-04-01,0.009398615714614866,0.1188
2007-05-01,0.010296426021131344,0.1308
2007-06-01,0.009097383303281914,0.1148
2007-07-01,0.009698862503578987,0.1228
2007-08-01,0.009900975291211367,0.1255
2007-09-01,0.007997046069031288,0.1003
2007-10-01,0.009300823618865417,0.1175
2007-11-01,0.008400771262575768,0.1056
2007-12-01,0.008400771262575768,0.1056
2008-01-01,0.009300823618865417,0.1175
2008-02-01,0.007997046069031288,0.1003
2008-03-01,0.008400771262575768,0.1056
2008-04-01,0.008999269421842815,0.1135
2008-05-01,0.00880272625060008,0.1109
2008-06-01,0.00960138999471205,0.1215
2008-07-01,0.010697594533420451,0.1362
2008-08-01,0.010199586180421605,0.1295
2008-09-01,0.011001019865397366,0.1403
2008-10-01,0.011802850082948346,0.1512
2008-11-01,0.010199586180421605,0.1295
2008-12-01,0.01120029087907004,0.143
2009-01-01,0.01049722926559582,0.1335
2009-02-01,0.008598176917245626,0.1082
2009-03-01,0.009698862503578987,0.1228
2009-04-01,0.008400771262575768,0.1056
2009-05-01,0.007698825173291901,0.0964
2009-06-01,0.007599202093946822,0.0951
2009-07-01,0.007897746915740855,0.099
2009-08-01,0.006898789559127927,0.086
2009-09-01,0.006898789559127927,0.086
2009-10-01,0.006898789559127927,0.086
2009-11-01,0.006596964541377037,0.0821
2009-12-01,0.007299681064450114,0.0912
2010-01-01,0.006596964541377037,0.0821
2010-02-01,0.005896621694972293,0.0731
2010-03-01,0.007599202093946822,0.0951
2010-04-01,0.0066976835190846185,0.0834
2010-05-01,0.00749947054764899,0.0938
2010-06-01,0.007897746915740855,0.099
2010-07-01,0.008598176917245626,0.1082
2010-08-01,0.008901050482778006,0.1122
2010-09-01,0.008499527220680037,0.1069
2010-10-01,0.00809623773574919,0.1016
2010-11-01,0.00809623773574919,0.1016
2010-12-01,0.009300823618865417,0.1175
2011-01-01,0.008598176917245626,0.1082
2011-02-01,0.008400771262575768,0.1056
2011-03-01,0.009202927185061327,0.1162
2011-04-01,0.008400771262575768,0.1056
2011-05-01,0.009900975291211367,0.1255
2011-06-01,0.00960138999471205,0.1215
2011-07-01,0.009698862503578987,0.1228
2011-08-01,0.010697594533420451,0.1362
2011-09-01,0.009398615714614866,0.1188
2011-10-01,0.00880272625060008,0.1109
2011-11-01,0.008598176917245626,0.1082
2011-12-01,0.009097383303281914,0.1148
2012-01-01,0.008901050482778006,0.1122
2012-02-01,0.00749947054764899,0.0938
2012-03-01,0.00820293960249363,0.103
2012-04-01,0.007099454735597366,0.0886
2012-05-01,0.007399630287176828,0.0925
2012-06-01,0.0064029620570458246,0.0796
2012-07-01,0.006798291773600473,0.0847
2012-08-01,0.006898789559127927,0.086
2012-09-01,0.005403170869843654,0.0668
2012-10-01,0.006099494322982624,0.0757
2012-11-01,0.005497367082522908,0.068
2012-12-01,0.005497367082522908,0.068
2013-01-01,0.005998114262842247,0.0744
2013-02-01,0.004899144709827663,0.0604
2013-03-01,0.005497367082522908,0.068
2013-04-01,0.006099494322982624,0.0757
2013-05-01,0.005998114262842247,0.0744
2013-06-01,0.006099494322982624,0.0757
2013-07-01,0.0071996226305266475,0.0899
2013-08-01,0.007099454735597366,0.0886
2013-09-01,0.007099454735597366,0.0886
2013-10-01,0.00809623773574919,0.1016
2013-11-01,0.0071996226305266475,0.0899
2013-12-01,0.007897746915740855,0.099
